codigo,especialidad
TMA,TECNICO SUPERIOR EN ADMINISTRACION: MERCADEO AGRICOLA
TAM,TECNICO SUPERIOR EN ADMINISTRACION: MERCADOTECNIA
TOS,TECNICO SUPERIOR EN ADMINISTRACION: ORGANIZACION Y SISTEMAS
TPM,TECNICO SUPERIOR EN ADMINISTRACION: PUBLICIDAD Y MERCADEO
TPA,TECNICO SUPERIOR EN ADMINISTRACION. Y  PLANIF. DE EMPRESAS AGROPECUARIAS
TAG,TECNICO SUPERIOR EN AGROPECUARIA
TAD,TECNICO SUPERIOR EN ANALISIS Y DISEÑO DE SISTEMAS
TAA,TECNICO SUPERIOR EN ANIMACION AMBIENTAL
TAE,TECNICO SUPERIOR EN ASISTENCIA ESPECIALIZADA
TIN,TECNICO SUPERIOR EN CALIDAD INTEGRAL
TCR,TECNICO SUPERIOR EN CERVECERIA
TAF,TECNICO SUPERIOR EN CIENCIAS AUDIOVISUALES Y FOTOGRAFIA.
TCE,TECNICO SUPERIOR EN COMERCIO EXTERIOR
TIT,TECNICO SUPERIOR EN COMERCIO INTERNACIONAL
TMP,TECNICO SUPERIOR EN COMPUTACION
TEC,TECNICO SUPERIOR EN COMUNICACION Y ELECTRONICA
TCV,TECNICO SUPERIOR EN CONSTRUCCION CIVIL
TCZ,TECNICO SUPERIOR EN CONTABILIDAD COMPUTARIZADA
TCD,TECNICO SUPERIOR EN CONTADURIA
TRO,TECNICO SUPERIOR EN CONTROL DE CALIDAD
TPR,TECNICO SUPERIOR EN CONTROL DE PROCESOS Y TELECOMUNICACIONES
TAU,TECNICO SUPERIOR EN CONTROLES AUTOMATICOS
TRM,TECNICO SUPERIOR EN CRIMINALISTICA
TOR,TECNICO SUPERIOR EN DEPORTES
TNA,TECNICO SUPERIOR EN DISEÑO AMBIENTAL
TYF,TECNICO SUPERIOR EN DISEÑO DE JOYAS Y FANTASIAS
TDA,TECNICO SUPERIOR EN DISEÑO DE MODAS
TOV,TECNICO SUPERIOR EN DISEÑO DE OBRAS CIVILES
TFI,TECNICO SUPERIOR EN DISEÑO GRAFICO
TID,TECNICO SUPERIOR EN DISEÑO INDUSTRIAL
TIO,TECNICO SUPERIOR EN DISEÑO INTERIOR
TEX,TECNICO SUPERIOR EN DISEÑO TEXTIL
TRS,TECNICO SUPERIOR EN EDUCACION FISICA PARA PERSN. ESPECIALES
TGR,TECNICO SUPERIOR EN EDUCACION INTEGRAL
TCN,TECNICO SUPERIOR EN EDUCACION
TTR,TECNICO SUPERIOR EN ELECTRICIDAD
TMD,TECNICO SUPERIOR EN ELECTROMEDICINA
TIC,TECNICO SUPERIOR EN ELECTRONICA
TUS,TECNICO SUPERIOR EN ELECTRONICA INDUSTRIAL
TUR,TECNICO SUPERIOR EN EMPRESAS TURISTICAS
TER,TECNICO SUPERIOR EN ENFERMERIA
TUD,TECNICO SUPERIOR EN ESTADISTICA DE LA SALUD
TFS,TECNICO SUPERIOR EN FISIOTERAPIA
TGE,TECNICO SUPERIOR EN GEOLOGIA
TMS,TECNICO SUPERIOR EN GEOLOGIA Y MINAS
TNI,TECNICO SUPERIOR EN GERENCIA DE CONDOMINIO
TOF,TECNICO SUPERIOR EN GERENCIA DE OFICINAS
TOS,TECNICO SUPERIOR EN GERENCIA DE PROCESOS HOSPITALARIOS
TAN,TECNICO SUPERIOR EN GERENCIA FINANCIERA
TGH,TECNICO SUPERIOR EN GERENCIA HOTELERA
TGI,TECNICO SUPERIOR EN GERENCIA INDUSTRIAL
TGO,TECNICO SUPERIOR EN GERONTOLOGIA
TGS,TECNICO SUPERIOR EN GESTION HOTELERA
THB,TECNICO SUPERIOR EN HIDROCARBUROS
THS,TECNICO SUPERIOR EN HIGIENE Y SEGURIDAD INDUSTRIAL
TRI,TECNICO SUPERIOR EN HOTELERIA
THH,TECNICO SUPERIOR EN HOTELERIA Y SERVICIOS DE LA HOSPITALIDAD
TIG,TECNICO SUPERIOR EN IDIOMAS MENCION INGLES
TIM,TECNICO SUPERIOR EN IDIOMAS MODERNOS
TIU,TECNICO SUPERIOR EN INFORMACION DE LA SALUD
TIO,TECNICO SUPERIOR EN INFORMACION Y DOCUMENTACION
TIF,TECNICO SUPERIOR EN INFORMATICA
TNR,TECNICO SUPERIOR EN INSPECCION SANITARIA
TRU,TECNICO SUPERIOR EN INSTRUMENTACION
TOL,TECNICO SUPERIOR EN INSTRUMENTACION Y CONTROL
TIS,TECNICO SUPERIOR EN LOGISTICA INDUSTRIAL
TAR,TECNICO SUPERIOR EN MANT.AERONAUTICO
TEL,TECNICO SUPERIOR EN MANTENIMIENTO DE EQUIPOS ELECTRICOS
TEE,TECNICO SUPERIOR EN MANTENIMIENTO DE EQUIPOS ELECTROMECANICOS
TAP,TECNICO SUPERIOR EN MANTENIMIENTO DE MAQUINARIA AGRICOLA Y PESADA
TVI,TECNICO SUPERIOR EN MANTENIMIENTO DE VIAS FERREAS
TMU,TECNICO SUPERIOR EN MANTENIMIENTO INDUSTRIAL
TME,TECNICO SUPERIOR EN MANTENIMIENTO MECANICO
TMI,TECNICO SUPERIOR EN MECANICA INDUSTRIAL
TMT,TECNICO SUPERIOR EN MECANICA TERMICA
TMR,TECNICO SUPERIOR EN METALURGIA
TMC,TECNICO SUPERIOR EN METALURGIA Y CIENCIAS DE LOS MATERIALES
TMS,TECNICO SUPERIOR EN METALURGIA Y SIDERURGIA
TMN,TECNICO SUPERIOR EN MINERIA
TOC,TECNICO SUPERIOR EN OBRAS CIVILES
TOE,TECNICO SUPERIOR EN ORGANIZACION EMPRESARIAL
