codigo,especialidad
PSA,PROMOTOR DE SALUD
PVE,PROMOTOR DE VENTAS
PDE,PROMOTOR DEPORTIVO
PBA,PROMOTOR EN LA BANCA PRIVADA
PFI,PROMOTOR FINANCIERO
PSO,PROMOTOR SOCIAL
PRP,PROTOCOLO RELACIONES PUBLICAS
PSI,PSICOLOGO
PUB,PUBLICISTA
QUI,QUIMICO
QIR,QUIROPEDISTA
RAD,RADIOLOGO
RDT,RADIOTECNICO
REC,RECEPCIONISTA
REL,RECOLECTOR
RCR,RECREADOR
RGI,REGISTRADORA
REH,REHABILITADOR
REM,REMATADOR
REP,REPARTIDOR
REO,REPOSTERO
REV,REPRESENTANTE DE VENTA
RES,RESERVISTA
SAL,SALVAVIDAS
SAS,SASTRE
SEC,SECRETARIO
SEG,SEGURIDAD
SEA,SEGURIDAD AEROPORTUARIA
SEI,SEGURIDAD INDUSTRIAL
SER,SERIGRAFISTA
SIN,SINDICALISTA
SUB,SUB-GERENTE BANCA PRIVADA
SUP,SUPERVISOR
SUA,SUPERVISOR DE ALMACEN
SBS,SUPERVISOR DE BUSOS
SCA,SUPERVISOR DE CALIDAD
SGA,SUPERVISOR DE CARGA
SCO,SUPERVISOR DE COBRANZA
SCC,SUPERVISOR DE COCINA
SCM,SUPERVISOR DE COMUNICACIONES
SDA,SUPERVISOR DE DESPACHO DE LOS ANDES
SEM,SUPERVISOR DE EMPRESA DE MANTENIMIENTO
SEN,SUPERVISOR DE ENVIOS
SEV,SUPERVISOR DE EVENTOS
SMN,SUPERVISOR DE MANTENIMIENTO
SOB,SUPERVISOR DE OBRAS
SOP,SUPERVISOR DE OPERARIOS
SSE,SUPERVISOR DE SEGURIDAD
SLA,SUPERVISOR LABORATORIO
SOC,SUPERVISOR OBRAS CIVILES
SSS,SUPERVISOR SALA SITUACIONAL
SSE,SUPERVISOR SERVICIOS
SAD,SUPERVISOR ADMINISTRATIVO
TAL,TALABARTERO
TAP,TAPICERO
TAX,TAXISTA
ECI,TECNICO
ECA,TECNICO ADMINISTRATIVO
ECS,TECNICO DE ASCENSOR
ESI,TECNICO DE SEGURIDAD INDUSTRIAL
ESE,TECNICO DE SERVICIO ESTACION DE GASOLINA
EEC,TECNICO ELECTRICISTA
ELF,TECNICO ELECTROENCEFALOGRAFISTA
ELR,TECNICO ELECTRONICA
EIS,TECNICO ELETRICISTA
ECM,TECNICO EN COMPUTACION
OCI,TECNICO EN FOTOCIPIADORA
ORM,TECNICO EN INFORMATICA
RIG,TECNICO EN REFRIGERACION
VID,TECNICO EN VIDEO Y AUDIO
HOS,TECNICO HOSPITALARIO
CAN,TECNICO MECANICO
MED,TECNICO MEDIO
MIR,TECNICO MEDIO DE INDRISTRIA
NOL,TECNOLOGO
JED,TEJEDOR
OPE,TELEOPERADOR
RAU,TERAPEUTA
OCU,TERAPIA OCUPACIONAL
EXT,TEXTILERO
OGR,TIPOGRAFO
OPO,TOPOGRAFO
ORN,TORNERO
CIA,TRABAJADOR SOCIAL
MIT,TRAMITADOR
SCR,TRANSCRIPTOR
NSP,TRANSPORTISTA
AZA,TRAZADO CORTADOR
ELA,TECNICO SUPERIOR EN RELACION INDUSTRIAL
UPR,TECNICO SUPERIOR MECANICA
URI,TURISMO
ECN,TÉCNICO
CAM,TÉCNICO DE CAMPO
VAC,VACUNADOR
VAL,VALET PARKING
VEN,VENDEDOR
VET,VETERINARIO(A)
VIG,VIGILANTE
ZAP,ZAPATERO(A)
SIS,INGENIERO DE SISTEMAS
ORT,OTRO
IAN,ESTUDIANDO SIN TRABAJAR
APA,INCAPACITADO PERMANENTE PARA TRABAJAR
ILA,JUBILADO SIN TRABAJAR
ION,PENSIONADO SIN TRABAJAR
