codigo,carrera_universitaria
204,Educación Mención Ciencias y Tecnología de la Educación 
205,Educación. Especialidad: Dibujo Técnico 
206,Educación: Electricidad Industrial 
207,Educación. Especialidad: Electrónica Industrial 
208,Educación Mención Idiomas Modernos 
209,"Educación Mención Lengua, Literatura y Latín "
210,Educación. Especialidad: Mecánica Industrial 
211,Educación. Especialidad: Artes Escénicas 
212,Educación Preescolar (Técnica) 
213,Educación Mención Lengua y Literatura 
214,Educación Mención Integral 
215,Educación Mención Básica Integral 
216,Educación Mención Preescolar 
217,"Educación Mención Educación Física ,Deporte y Recreación "
218,Educación Especialidad: Electricidad Industrial 
219,"Educación Especialidad: Castellano, Literatura y latín "
220,Educación Mención Historia y Geografía 
221,Educación Mención Artes 
222,Educación Mención Preescolar (Técnica) 
223,Educación Lenguas Extranjeras Mención Inglés 
224,Educacíon Especialidad: Francés 
225,Educación Mención Técnica Industrial 
226,Educación Mención Educación Física 
227,Educación Ciencias Sociales Mención Turismo 
228,Educación Mención Música 
229,"Educación Física,Recreación y Entrenamiento Deportivo "
230,"Educación mención Ciencias Sociales, área Geografía, área Historia "
231,Educación Especial
232,Educación Especial (Técnica) 
233,"Educación Física, Deportes y Recreación para Personas con Necesidades Especiales "
234,Educación Especial en Retardo Mental 
235,Educación Especial en Dificultades del Aprendizaje 
236,Educación Especial en Deficiencias Auditivas 
237,Deportes (Técnica) 
238,Entrenamiento Deportivo (Técnica) 
239,Ciencias del Deporte 
240,Actividad Física y Salud 
241,Entrenamiento Deportivo 
242,Gestión Tecnológica del Deporte 
243,Administración Bancaria y Financiera (Técnica) 
244,Administración de Empresas (Técnica) 
245,Administración de Empresas Petroleras 
246,Administración en Informática 
247,Administración de Personal (Técnica) 
248,Administración de Recursos Físicos y Financieros 
249,Administración de Recursos Humanos (Técnica) 
250,Administración de Sistemas de Mantenimiento 
251,Administración de Recursos Humanos 
252,Administración y Ciencias Comerciales 
253,Administración y Gerencia 
254,Administración Contabilidad de Costos 
255,Administración Mención Contabilidad y Finanzas 
256,Administración y Gestión de Industrias Energéticas 
257,Administración: Sistemas Administrativos y Contables 
258,Banca y Finanzas (Técnica) 
259,Contabilidad 
260,Contabilidad Computarizada 
261,Contabilidad y Finanzas 
262,Contador General 
263,Contaduría (Técnica) 
264,Gerencia de Condominios 
265,Gerencia de Oficinas 
266,Gerencia Financiera 
267,Gerencia Pública 
268,Logística Industrial 
269,Organización Empresarial (Técnica) 
270,Secretaría 
271,Secretariado Administrativo (Técnica) 
272,Tecnología en Administración Industrial 
273,Administración Mención Finanzas 
274,Administración Industrial (Técnica) 
275,Relaciones Industriales (Técnica) 
276,Administración (Técnica) 
277,Gerencia Industrial 
278,Administración Bancaria Mención Banca 
279,Administración de Empresas mención Personal 
280,Administración Mención Costos 
281,Administración Mención Banca y Finanzas (Técnica) 
282,Contaduría Pública (Técnica) 
283,Administración 
284,Administración Comercial 
285,Administración de Empresas 
286,Administración Mención Banca y Finanzas 
287,Administración Mención Gerencia Industrial 
288,Ciencias Administrativas 
289,Ciencias Administrativas (Técnica) 
290,Ciencias Administrativas y Gerenciales 
291,Contaduría 
292,Contaduría Pública 
293,Economía 
294,Economía Empresarial 
295,Gerencia de Recursos Humanos 
296,Relaciones Industriales 
297,Procesos Gerenciales 
298,Administración Pública 
299,Administración y Gestión Municipal 
300,Economía Social 
301,Desarrollo Empresarial 
302,Administración Mención Gerencia y Mercadeo 
303,Administración Mención Relaciones Industriales 
304,Administración. Mención Tributación
305,Administración Aduanera (Técnica) 
306,Administración del Transporte (Técnica) 
307,Administración Mención Transporte y Distribución de Bienes 
308,Administración Tributaria 
309,Ciencias Fiscales (Técnica) 
310,Comercio Exterior (Técnica) 
311,Gestión Fiscal y Tributaria 
312,Administración Mención Comercio Exterior 
313,Administracion de Aduanas 
314,Mercadeo Mención Comercio Exterior 
315,Administración Mención Aduanas 
316,Comercio Internacional 
317,"Ciencias Fiscales Menciones: Rentas, Aduanas y Comercio Exterior, Finanzas Públicas "
